Brand,Interval_Week,Sample_Count,Avg_MPI,Sigma_Randomness,Avg_Heat
Samsung,36,117.0,0.45683577759032196,0.20479253629371288,0.13659771313715693
Samsung,37,113.0,0.5029182228737766,0.18629684561274984,0.1176279293851251
Samsung,38,107.0,0.4563169942507259,0.2017642789867883,0.06314417801658127
Samsung,39,92.0,0.4778377794782105,0.1852048476183768,0.23998348947371478
Samsung,40,70.0,0.4793931944827948,0.2012566959006312,0.17167940411184515
Samsung,41,94.0,0.48505469688036024,0.16806962674647452,0.04361001366471991
Samsung,42,79.0,0.4762857997719246,0.2000336408670211,0.22843864083855966
Samsung,43,78.0,0.46240972388440216,0.1854562763979653,0.20702880845429042
Samsung,44,76.0,0.45008995040859046,0.20593655841765593,0.11651871233296238
Samsung,45,86.0,0.4562614115833597,0.19678221099580417,0.14822719588355962
Samsung,46,82.0,0.4755999154706554,0.18594035549979995,0.08778004598145078
Samsung,47,80.0,0.49326952125993556,0.16939596376816568,0.14145429506897927
Samsung,48,126.0,0.48603632531705354,0.16939408671567247,0.14370470406812808
Samsung,49,73.0,0.47436762925664805,0.19466644461162624,0.13335670068962116
Samsung,50,65.0,0.4619304860154024,0.19940865107718267,0.17679844395472452
Samsung,51,70.0,0.4886021717218682,0.19418625464985,0.1748433415112751
Samsung,52,37.0,0.45011252285660924,0.20859819494925963,0.2776269779817478
Samsung,53,37.0,0.4586982188393941,0.2234891541895408,0.1342261187430169
Samsung,54,15.0,0.4885930955410004,0.1363399336841883,0.14625707467397053
Samsung,55,33.0,0.4594456313008612,0.17765231312875562,0.20538054790460702
Samsung,56,28.0,0.5124102261449609,0.1526750225466958,0.21767812767731293
Samsung,57,20.0,0.539370733499527,0.12252557670074672,0.17283044420182705
Samsung,58,26.0,0.5224032556781402,0.13684850263417267,-0.08254913957073139
Samsung,59,22.0,0.42716448402709584,0.2172598294165791,0.1419607036831704
Samsung,60,19.0,0.45214432556378215,0.19407242322028428,0.2603599468344136
Samsung,61,16.0,0.48326950139016844,0.20139589869222274,0.0724380400497466
Samsung,62,10.0,0.4706049397587776,0.21023121048538948,0.03720326237380506
Samsung,63,16.0,0.48158432403579354,0.19167307561174213,0.018545654136687517
